斥岿,瘤痢,乞闭扁柯(∩),乞闭弥历扁柯(∩),乞闭弥绊扁柯(∩)
"			1994-01",版合,-0.5,-5.5,5.5
"			1994-02",版合,1.5,-3.8,7.6
"			1994-03",版合,4.6,-0.7,10.5
"			1994-04",版合,13.8,6.7,20.8
"			1994-05",版合,17.6,11.3,23.9
"			1994-06",版合,21.2,15.6,27.1
"			1994-07",版合,28.2,23.4,33.8
"			1994-08",版合,27.3,22.5,32.8
"			1994-09",版合,20.7,14.7,27.5
"			1994-10",版合,14.5,8.7,21.1
"			1994-11",版合,9.3,3.5,16
"			1994-12",版合,2.5,-2.9,8.4
"			1995-01",版合,-1,-6,4.7
"			1995-02",版合,1.7,-4,8.4
"			1995-03",版合,6.1,0.8,12.2
"			1995-04",版合,12.2,4.7,19.4
"			1995-05",版合,16.4,9.7,23
"			1995-06",版合,19.7,14.8,25.2
"			1995-07",版合,25,21,29.7
"			1995-08",版合,26.7,22.5,32.1
"			1995-09",版合,18.9,13.9,24.5
"			1995-10",版合,14.5,8.6,21.4
"			1995-11",版合,6.3,0,13.7
"			1995-12",版合,0,-5.5,6.3
"			1996-01",版合,-0.8,-5.8,5
"			1996-02",版合,-0.2,-5.8,6.1
"			1996-03",版合,4.8,-0.5,10.4
"			1996-04",版合,11.2,4.7,17.6
"			1996-05",版合,17.3,10.9,23.9
"			1996-06",版合,20.7,16.8,25.1
"			1996-07",版合,24,19.8,29.1
"			1996-08",版合,25.1,20.9,30.3
"			1996-09",版合,20.4,15,26.8
"			1996-10",版合,14.4,8.4,21.4
"			1996-11",版合,7.4,2.5,13
"			1996-12",版合,1.8,-3.7,8.8
"			1997-01",版合,-1.1,-6.3,4.8
"			1997-02",版合,1.7,-4.6,8.7
"			1997-03",版合,7.2,1.1,13.8
"			1997-04",版合,12.8,6.4,19.3
"			1997-05",版合,17.5,11.7,23.8
"			1997-06",版合,21.9,16.3,28.2
"			1997-07",版合,24.5,20.5,29.4
"			1997-08",版合,24.9,21.1,29.9
"			1997-09",版合,19.5,14.3,25.6
"			1997-10",版合,13.8,7,21.4
"			1997-11",版合,9.1,3.7,15.2
"			1997-12",版合,2.6,-2.1,8.1
"			1998-01",版合,0.1,-4.5,5.2
"			1998-02",版合,3.9,-1.3,9.7
"			1998-03",版合,8.2,2.3,14.4
"			1998-04",版合,15,9.8,21
"			1998-05",版合,18.2,12.2,24.4
"			1998-06",版合,19.8,16.1,23.9
"			1998-07",版合,23.6,20.7,27.3
"			1998-08",版合,24.4,21.2,28.6
"			1998-09",版合,21.3,16.9,26.8
"			1998-10",版合,16.4,11.5,22.1
"			1998-11",版合,7.7,2.1,14.4
"			1998-12",版合,3.2,-2,9.5
"			1999-01",版合,0.5,-4.6,6.4
"			1999-02",版合,2.2,-3.3,7.6
"			1999-03",版合,6.6,0.8,12.6
"			1999-04",版合,12.9,6.7,19.4
"			1999-05",版合,17.6,11.3,23.9
"			1999-06",版合,21.5,16.6,26.9
"			1999-07",版合,23.2,20,27.4
"			1999-08",版合,23.9,20.6,28.1
"			1999-09",版合,21.9,18.2,26.6
"			1999-10",版合,13.8,8.7,20
"			1999-11",版合,7.8,2.3,14
"			1999-12",版合,1.6,-3.6,7.5
"			2000-01",版合,0.3,-4.2,5.1
"			2000-02",版合,0.2,-5.1,5.9
"			2000-03",版合,7,0.7,13.6
"			2000-04",版合,12.3,5.9,18.8
"			2000-05",版合,17.9,11.7,24.5
"			2000-06",版合,21.7,17,27
"			2000-07",版合,25.5,21.4,30.8
"			2000-08",版合,25,21.7,29.6
"			2000-09",版合,19.3,15.5,24.1
"			2000-10",版合,14.4,9.2,20.6
"			2000-11",版合,7.3,2.2,13.4
"			2000-12",版合,1.8,-3.7,8.1
"			2001-01",版合,-1.5,-5.8,3.1
"			2001-02",版合,1.7,-3.3,7.2
"			2001-03",版合,6.3,0.3,12.7
"			2001-04",版合,13.3,5.8,20.5
"			2001-05",版合,18.6,12.7,24.9
"			2001-06",版合,21.9,17.5,27.1
"			2001-07",版合,25.6,21.3,30.9
"			2001-08",版合,25,20.8,30.4
"			2001-09",版合,20,15.2,25.9
"			2001-10",版合,15.1,10.6,21
"			2001-11",版合,6.7,1.2,13.6
"			2001-12",版合,0.8,-3.7,6.2
"			2002-01",版合,1.2,-3,5.9
"			2002-02",版合,2.8,-3,9.3
"			2002-03",版合,8.3,2.1,14.7
"			2002-04",版合,13.3,6.9,19.8
"			2002-05",版合,16.5,11,22.1
"			2002-06",版合,20.8,14.9,26.9
"			2002-07",版合,24.2,20.6,28.6
"			2002-08",版合,23.3,20.5,27.1
"			2002-09",版合,19.2,14.7,24.9
"			2002-10",版合,12.5,7.2,18.8
"			2002-11",版合,4.7,-0.8,10.7
"			2002-12",版合,2.3,-1.7,7
"			2003-01",版合,-1.5,-6.3,3.8
"			2003-02",版合,2.4,-2.2,7.4
"			2003-03",版合,6.1,0.9,11.6
"			2003-04",版合,12.4,6.9,18.3
"			2003-05",版合,16.5,10.9,22.5
"			2003-06",版合,20.7,16.5,25.7
"			2003-07",版合,21.5,18.7,25.3
"			2003-08",版合,23.5,20.2,27.9
"			2003-09",版合,20.5,16.7,25.4
"			2003-10",版合,13.2,7.5,20
"			2003-11",版合,9.8,5,15.1
"			2003-12",版合,2.4,-2.3,7.6
"			2004-01",版合,-0.5,-5.2,5.3
"			2004-02",版合,3.4,-2.6,9.7
"			2004-03",版合,6.9,0.7,13.3
"			2004-04",版合,13.8,6.9,20.9
"			2004-05",版合,17.8,12.5,23.4
"			2004-06",版合,21.6,16.2,27.4
"			2004-07",版合,25.5,21.7,30.4
"			2004-08",版合,24.4,20.9,29.2
"			2004-09",版合,20.3,16.3,25.3
"			2004-10",版合,13.9,8.1,20.6
"			2004-11",版合,9.1,3.6,15.7
"			2004-12",版合,3.2,-1.8,9.1
"			2005-01",版合,-0.6,-5.3,4.6
"			2005-02",版合,-0.2,-5,4.8
"			2005-03",版合,5.4,-0.3,11.5
"			2005-04",版合,13.8,6.7,20.8
"			2005-05",版合,17,10.8,23.6
"			2005-06",版合,22.6,17.7,28.4
"			2005-07",版合,24.9,21.3,29.3
"			2005-08",版合,25,21.4,29.8
"			2005-09",版合,21,17.4,25.7
"			2005-10",版合,14.2,9.3,20.3
"			2005-11",版合,8.1,2.2,14.8
"			2005-12",版合,-1.9,-6.8,3.5
"			2006-01",版合,0.8,-3.7,6
"			2006-02",版合,1.7,-3.1,7
"			2006-03",版合,6.5,0.4,12.9
"			2006-04",版合,11.6,6.1,17.6
"			2006-05",版合,17.1,11.8,22.9
"			2006-06",版合,21.3,16.4,27
"			2006-07",版合,22.7,20.1,26.5
"			2006-08",版合,26.4,22.3,31.7
"			2006-09",版合,19.1,14.5,24.6
"			2006-10",版合,16.7,11.3,23.5
"			2006-11",版合,8.6,3.6,14.3
"			2006-12",版合,2.1,-2.7,7.9
"			2007-01",版合,1.6,-3.2,7.4
"			2007-02",版合,4.6,-1,11
"			2007-03",版合,7.2,2.1,13.1
"			2007-04",版合,12.3,6.1,18.7
"			2007-05",版合,17.9,12,24.5
"			2007-06",版合,21.4,16.5,26.8
"			2007-07",版合,23.2,19.9,27.3
"			2007-08",版合,26,22.3,30.7
"			2007-09",版合,21.1,17.9,25.2
"			2007-10",版合,15,10.2,21
"			2007-11",版合,7.3,1.5,14.1
"			2007-12",版合,2.7,-1.5,7.7
"			2008-01",版合,0.4,-3.7,5.1
"			2008-02",版合,0.3,-5.2,6.4
"			2008-03",版合,7.3,1.5,13.6
"			2008-04",版合,13.1,6.7,19.7
"			2008-05",版合,17.8,11.6,24.2
"			2008-06",版合,20,15.7,24.7
"			2008-07",版合,26.4,22.6,31.5
"			2008-08",版合,24.1,20.1,29.1
"			2008-09",版合,20.9,16.4,26.5
"			2008-10",版合,15.6,10.2,22.2
"			2008-11",版合,7.9,2.8,13.8
"			2008-12",版合,2,-3.1,8
"			2009-01",版合,-0.8,-5.9,5.2
"			2009-02",版合,4.8,-0.5,10.5
"			2009-03",版合,7.5,1.6,13.4
"			2009-04",版合,13.4,6.7,20.3
"			2009-05",版合,18.7,12.5,25.4
"			2009-06",版合,22.2,17,27.9
"			2009-07",版合,23.3,19.7,27.8
"			2009-08",版合,23.9,20.2,28.4
"			2009-09",版合,20.7,16,26.4
"			2009-10",版合,15.2,9.3,22.3
"			2009-11",版合,7.9,3.3,13.2
"			2009-12",版合,1.3,-3.1,6.5
"			2010-01",版合,-1.4,-6.5,4.1
"			2010-02",版合,2.4,-2.1,7.4
"			2010-03",版合,5.4,1.2,10
"			2010-04",版合,10,4.4,15.8
"			2010-05",版合,17.3,11.2,23.6
"			2010-06",版合,22.4,16.8,28.4
"			2010-07",版合,25.5,22,30.1
"			2010-08",版合,26.9,23.5,31.6
"			2010-09",版合,21.3,17.2,26.8
"			2010-10",版合,14.5,9.4,20.6
"			2010-11",版合,7,0.9,14.1
"			2010-12",版合,0.9,-4.1,6.7
"			2011-01",版合,-3.9,-9,1.3
"			2011-02",版合,2.4,-2.9,8.3
"			2011-03",版合,5.3,-0.5,11.5
"			2011-04",版合,11.9,5.4,18.3
"			2011-05",版合,17,11.6,22.7
"			2011-06",版合,22.3,17.3,27.8
"			2011-07",版合,25,21.7,29.2
"			2011-08",版合,24.9,21.8,29.1
"			2011-09",版合,20.9,16.6,26.1
"			2011-10",版合,13.8,8.3,20.3
"			2011-11",版合,10.6,6.3,15.7
"			2011-12",版合,1.1,-3.5,6.1
"			2012-01",版合,-0.6,-5.2,4.5
"			2012-02",版合,-0.3,-5.5,5.3
"			2012-03",版合,6.3,1.5,11.3
"			2012-04",版合,13.3,7.1,19.9
"			2012-05",版合,18.1,12.5,24.3
"			2012-06",版合,21.5,17.3,26.6
"			2012-07",版合,25.7,21.9,30.3
"			2012-08",版合,26.1,22.7,30.5
"			2012-09",版合,20,15.7,25.4
"			2012-10",版合,14,8.1,21.1
"			2012-11",版合,6.6,1.6,12.2
"			2012-12",版合,-1.5,-6,3.3
"			2013-01",版合,-1.8,-6.7,3.6
"			2013-02",版合,1.3,-3.7,6.7
"			2013-03",版合,7.7,0.8,14.9
"			2013-04",版合,10.7,4.5,17.2
"			2013-05",版合,18.2,12,24.8
"			2013-06",版合,22.2,18.2,27.3
"			2013-07",版合,26.7,22.9,31.5
"			2013-08",版合,27.3,23,32.9
"			2013-09",版合,20.9,16.5,26.3
"			2013-10",版合,15.3,10.2,21.6
"			2013-11",版合,7,2.1,12.8
"			2013-12",版合,1.8,-2.9,7
"			2014-01",版合,0.8,-4.7,6.9
"			2014-02",版合,2.5,-2.2,7.9
"			2014-03",版合,7.9,2,14
"			2014-04",版合,13.6,7.3,20.1
"			2014-05",版合,18.9,11.9,26
"			2014-06",版合,21.5,17.3,26.4
"			2014-07",版合,25.4,21.2,30.3
"			2014-08",版合,23.3,20.2,27.3
"			2014-09",版合,20.4,15.7,26.1
"			2014-10",版合,14.3,8.9,20.7
"			2014-11",版合,8.6,3.6,14.6
"			2014-12",版合,-0.5,-5.1,4.6
"			2015-01",版合,0.8,-3.8,5.9
"			2015-02",版合,2.4,-2.5,7.9
"			2015-03",版合,7.3,0.8,14.1
"			2015-04",版合,12.8,7.2,18.7
"			2015-05",版合,19.4,12.4,26.2
"			2015-06",版合,21.4,16.4,27.1
"			2015-07",版合,24.1,20.3,28.6
"			2015-08",版合,25.1,20.9,30.6
"			2015-09",版合,19.8,14.9,25.5
"			2015-10",版合,14.7,8.8,21.5
"			2015-11",版合,10,6.4,14.1
"			2015-12",版合,3.6,-0.8,8.5
"			2016-01",版合,-0.7,-5.3,4.2
"			2016-02",版合,2,-3,7.6
"			2016-03",版合,7.5,1.6,13.6
"			2016-04",版合,13.8,7.9,20.1
"			2016-05",版合,18.7,11.9,25.6
"			2016-06",版合,22.3,17.7,27.6
"			2016-07",版合,25.1,21.4,29.9
"			2016-08",版合,26.4,21.8,32
"			2016-09",版合,21,17.7,25.2
"			2016-10",版合,15.6,11.8,20.4
"			2016-11",版合,7.8,2.9,13.5
"			2016-12",版合,3.4,-1.4,8.7
"			2017-01",版合,0.5,-4.6,6
"			2017-02",版合,2.3,-3.4,8.3
"			2017-03",版合,6.9,0.9,13.2
"			2017-04",版合,14.5,8.1,21.2
"			2017-05",版合,19.4,12.8,26.3
"			2017-06",版合,21.8,16.1,28.2
"			2017-07",版合,26.3,22.7,31.1
"			2017-08",版合,25,21.4,29.7
"			2017-09",版合,20.3,15.1,26.2
"			2017-10",版合,15.3,10.8,20.8
"			2017-11",版合,7.1,1.3,13.6
"			2017-12",版合,-0.1,-5.2,5.5
"			2018-01",版合,-1.6,-6.1,3.8
"			2018-02",版合,0.3,-5.6,6.6
"			2018-03",版合,8.6,2.5,14.9
"			2018-04",版合,14.1,7.6,20.7
"			2018-05",版合,18,12.5,23.7
"			2018-06",版合,22.5,17.4,28.1
"			2018-07",版合,26.9,22.6,31.9
"			2018-08",版合,26.8,22.6,31.9
"			2018-09",版合,20.1,15.9,25
"			2018-10",版合,13.1,7.9,19.4
"			2018-11",版合,8,2.5,14.7
"			2018-12",版合,1.4,-3.4,6.9
"			2019-01",版合,1,-4.2,6.9
"			2019-02",版合,3.3,-1.8,8.9
"			2019-03",版合,8.3,2.1,14.8
"			2019-04",版合,12.4,6.3,18.6
"			2019-05",版合,19.3,12.1,26.4
"			2019-06",版合,21.4,16.4,27.2
"			2019-07",版合,25,21.3,29.4
"			2019-08",版合,26.1,22.2,31.1
"			2019-09",版合,21.7,17.8,26.4
"			2019-10",版合,15.4,10.5,21.4
"			2019-11",版合,8.4,2.9,15.2
"			2019-12",版合,2.4,-2.4,8.4
"			2020-01",版合,2.8,-1.2,7.8
"			2020-02",版合,3.6,-1.5,9.3
"			2020-03",版合,8.1,1.7,14.6
"			2020-04",版合,11.2,4.5,18
"			2020-05",版合,17.8,12.3,23.7
"			2020-06",版合,22.8,17.7,28.5
"			2020-07",版合,22,19,25.7
"			2020-08",版合,26.5,23,31
"			2020-09",版合,19.7,15.7,24.8
"			2020-10",版合,13.6,8.1,20.1
"			2020-11",版合,8.4,3,14.4
"			2020-12",版合,0.3,-4.9,6.3
"			2021-01",版合,-1.1,-6.5,4.8
"			2021-02",版合,3.5,-2.5,10
"			2021-03",版合,8.8,3,14.7
"			2021-04",版合,12.8,6.6,19
"			2021-05",版合,16.3,10.8,22.2
"			2021-06",版合,21.3,16.9,26.4
"			2021-07",版合,25.4,21.3,30.4
"			2021-08",版合,24.1,20.9,28.6
"			2021-09",版合,20.6,16.8,25.2
"			2021-10",版合,14.7,9.9,21
"			2021-11",版合,8.2,2.9,14.7
"			2021-12",版合,2,-3.3,8
"			2022-01",版合,-0.4,-5.9,5.7
"			2022-02",版合,0.2,-5.3,6.3
"			2022-03",版合,7.9,1.9,14.1
"			2022-04",版合,14.2,7.2,21.1
"			2022-05",版合,18.6,11.6,25.6
"			2022-06",版合,22.5,17.7,27.9
"			2022-07",版合,25.7,22.1,30.3
"			2022-08",版合,25.1,21.7,29.3
"			2022-09",版合,20.3,15.9,25.7
"			2022-10",版合,13.8,8.5,20.1
"			2022-11",版合,9.5,3.5,16.7
"			2022-12",版合,-1.1,-5.8,4.3
"			2023-01",版合,-0.3,-5.6,5.6
"			2023-02",版合,3,-2.5,9.2
"			2023-03",版合,10,3,17.2
"			2023-04",版合,13.2,6.7,19.5
"			2023-05",版合,17.9,11.8,23.7
"			2023-06",版合,22.4,17.6,27.9
"			2023-07",版合,25.3,21.8,29.8
"			2023-08",版合,26.2,22.7,30.7
"			2023-09",版合,22.2,18.7,26.7
"			2023-10",版合,14.3,8.8,21.1
"			2023-11",版合,7.9,2.5,13.9
"			2023-12",版合,2.2,-2.6,7.5
"			",,,,
